status	company_name	meetings	founder	high_concept	industry	focus	field	notes	company_url	discussion	Notes2	metwith	dateapplied	location	description
	Brax		Khaled Azar, Mark Simon	Brax is a native advertising platform for bulk management, unified reporting and rule-based goal optimization across sources. Brax streamlines content syndication across Yahoo Gemini, Outbrain, Taboola, Revcontent and others.	Advertising platform, Marketing		Advertising platform, Marketing		https://brax.io/						
	Braykion		Dr. Jon Wilensky, Ryan Ruehl	The Braykion Smartband is a wearable device that uses an advanced sensor fusion algorithm to monitor, record, and remind HCWs when they need to wash, and prevents patients from contracting these completely preventable infections.	Health, Wearables, Sensors, Hardware, Hygiene		Health, Wearables, Sensors, Hardware, Hygiene		http://www.braykion.com/						
n/a	Breadcrumbs			Breadcrumbs is a geofencing app that helps you keep track of how and where you spend your time.										San Diego	
	Brightscope		Mike Alfred & Ryan Alfred	BrightScope is a financial information and technology company that brings transparency to opaque markets.		B2C	. Focus : B2C		https://www.brightscope.com/					San Diego	
	Buchaholic		Christine Beggs	Buchaholic is a bold line of kombucha teas celebrating Thai flavors and sustainable community development in Northern Thailand.	Social enterprise, Food and Beverage		Social enterprise, Food and Beverage		http://Buchaholic.com						
	Build Fire		Ian Blair, Nathan Keating	App development	Mobile, Software, Apps	B2B	Mobile, Software, Apps. Focus : B2B		https://buildfire.com/					San Diego	
	Business Texter Inc.			App that manages customer contacts 	Mobile/Cloud	B2B	Mobile/Cloud. Focus : B2B		https://biztexter.com/					San Diego	
n/a	Bystanders To Upstanders		Sneha Jayaprakash											San Diego	
	Cache Ventures		Patrick Bushe	Invest in products	Investors (mobile/ saas/ big data)		Investors (mobile/ saas/ big data)		https://cacheventures.com/					LA	
	CameraFlock			By leveraging a proprietary artificial intelligence engine, CameraFlock identifies the best mobile device feeds at an event and automatically edits the camera angles together. The result is a single outgoing broadcast with a look and feel similar to live TV. No other video platform has capabilities even approaching this.	AI		AI		https://www.cameraflock.com/			EvoCompanies2016		San Diego	 Met With: EvoCompanies2016
	Cardiva Medical		Gordon H.Epstein, Zia Yassinzadeh	Cardiva Medical, Inc. is a medical device company thatês focused on developing and commercializing innovative vascular closure technology designed to help the body heal itself following catheterization. The companyês products include VASCADE, a vascular closure system, and Catalyst II and Catalyst III, which are designed to aid manual compression.	Med device, Medical Device, Health Care, Manufacturing 	B2B	Med device, Medical Device, Health Care, Manufacturing . Focus : B2B		http://www.cardivamedical.com					Sunnyvale	
n/a	CareShare, USA Inc.			CareShare provides an affordable, convenient, safe, and trusted option for working parents by utilizing resources of stay-at-home mothers in local communities.					https://careshareusa.com/			EvoCompanies2016		San Diego	 Met With: EvoCompanies2016
	Carzumer		Ward Ozaeta	Auto finance and car buying platform	Automotive, FinTech, Mobile		Automotive, FinTech, Mobile		http://www.carzumer.com/					San Diego	
	CarZumer, Inc.		Ward B. Ozaeta	CarZumer uses technology, analytics, and marketplace lending to disintermediate dealer financing, and provide a seamless financing and car buying experience to consumers.	Automotive, fintech, mobile		Automotive, fintech, mobile		https://www.carzumer.com/					San Diego	
n/a	Cashie			Cashie is a cloud-based ecommerce solution that gives you everything you need to add a professional shopping experience to your website or blog.										San Diego	
	CautioSystems			A Web-based management, analytics, reporting and response system for telemetry and surveilance cameras in the oil and gas industry.	IoT	B2B	IoT. Focus : B2B		http://cautiosystems.com/					San Diego	
*	Cayke			E-sports video media asset manager	E-sports	B2B (Teams)	E-sports. Focus : B2B (Teams)			https://cayke.co/	EvoNexus Incubator Co.	Allison, Taner, Ken Truesdale, Eric, Cait		San Diego	 ,EvoNexus Incubator Co. Active Discussion: https://cayke.co/ Met With: Allison, Taner, Ken Truesdale, Eric, Cait
n/a	CB Therapeutics			CB Therapeutics has developed patent-pending technology for the biosynthesis of cannabinoids and other therapeutic molecules found in cannabis.	Life Sci		Life Sci					EvoCompanies2016		San Diego	 Met With: EvoCompanies2016
	CDM Technologies		Chip Murphy	CDM Technology is a customer-focused, premier provider of IT consulting, contracting and recruiting solutions.	IT	B2C	IT. Focus : B2C		http://www.cdmtechnology.com/					San Diego	
	Cellana		C. Barry Raleigh	Cellana, Inc., a leading developer of algae-based bioproducts					http://cellana.com/					San Diego	
n/a	Cerebrumatics		Rez Amiri											San Diego	
	Chalk Digital		Craig Hagopian	Hypertargeted Mobile Advertising	Ad Tech	B2B	Ad Tech. Focus : B2B	As of May 2017, raised $2M seed round @ $5M pre, $2-3M total 2017 revenue (expected).  Raising $500k - $1M bridge currently	http://www.chalkdigital.com/					San Diego	Notes : As of May 2017, raised $2M seed round @ $5M pre, $2-3M total 2017 revenue (expected).  Raising $500k - $1M bridge currently
	Charlot Biosciences		David Charlot	We offer a technology platform that simplifies complex bio-separation techniques developed in advanced bioengineering labs without compromising performance for biomarker detection in fluids.	Life Science	B2C	Life Science. Focus : B2C		https://www.cbiosciences.com/			EvoCompanies2016		San Diego	 Met With: EvoCompanies2016
	ChatMeter		Collin Holmes	Brand management platform	Marketing	B2B	Marketing. Focus : B2B		http://www.chatmeter.com/					San Diego	
	Chip Nexus		Dan Hamling		Semiconductor		Semiconductor		http://www.chipnexus.com/					San Diego	
	CiBots, Inc.													San Diego	
	Cingo		Kobus Marneweck	Cingo provides the technology for companies to embed real-time customer support in their mobile apps and websites.	Apps, Video Chat, Customer Service	B2B 	Apps, Video Chat, Customer Service. Focus : B2B 		https://www.cingo.me/			EvoCompanies2016		San Diego	 Met With: EvoCompanies2016
	Cipher skin		Phillip Bigdanovich 	Cipher Skin is a patented family of biometric sensors that measure 3-dimensional movement while integrating numerous high-quality metrics like heart rate, respiratory rate and quality and autonomic tone.	Wearable technology, Healthtech		Wearable technology, Healthtech		https://www.cipherskin.com/						
	CipherDb		Cid Shetye	Add military-grade data security and regulatory compliance to your backend applications in minutes with Crypteron. Crypteron provides encryption, tamper protection, key management and a one-click response to data breaches. Sign up for free today!	Security	B2B 	Security. Focus : B2B 		https://www.crypteron.com/cipherdb/					La Jolla	
	Citybot		Ilya Raykin, Greg Solovyev, Sergey Povzner, Zhenya Kogan	Citybot is the developer of Itinerary EngineÈ, a mobile tool that enables travelers to create intra-day itineraries.	Tourist, Food and Beverage, Travel, Mobile 	B2C	Tourist, Food and Beverage, Travel, Mobile . Focus : B2C		http://citybot.com		Closed 	EvoCompanies2013		San Diego	 ,Closed  Met With: EvoCompanies2013
	Classy		Scot Chisholm, Pat Walsh, Marshall Peden	Crowd Funding plateform 	P2P, CRM, Crowdfunding, Non Profit, Events, FinTech	B2C	P2P, CRM, Crowdfunding, Non Profit, Events, FinTech. Focus : B2C		classy.org					San Diego	
	CleverPet		Dan Knudsen, Leo Trottier	Home pet hub for dogs, made for training and treating your pet 	pet robotics , Education, Pet, Machine Learning	B2C	pet robotics , Education, Pet, Machine Learning. Focus : B2C		http://getcleverpet.com					San Diego	
*	Clickvoyant		Kate Bartkiewicz, Mihai Anghel 	Clickvoyant analyzes real-time data to find opportunities to increase your eComm revenue.	eCommerce, Google Analytics, SAAS, KPIs, Digital Analytics, Marketing Analytics, and Predictive Analytics		eCommerce, Google Analytics, SAAS, KPIs, Digital Analytics, Marketing Analytics, and Predictive Analytics		https://ecomm.clickvoyant.com/					San Diego	
	CLiCS		Leilani Macedo, Charles D. Brown	Hair color mixing machine with conversion database	Hardware & SaaS, Hair & beauty, salons	B2B	Hardware & SaaS, Hair & beauty, salons. Focus : B2B	mentioned EvoNexxus, Quickpitch and EcoATM	http://www.clicscolors.com/			Allison, Eric, Taner & Cait		San Diego	Notes : mentioned EvoNexxus, Quickpitch and EcoATM Met With: Allison, Eric, Taner & Cait
	Cloudbeds		Adam Harris	GDS POS software for Hotels 	software, hotels 	B2B	software, hotels . Focus : B2B		www.cloudbeds.com 			TCA		San Diego	 Met With: TCA
	Coin Up, LLC		Leena Patidar	mobile donation app 	Donation, Nonprofit, Mobile App		Donation, Nonprofit, Mobile App		https://www.coinupapp.com/					San Diego	
	CollectiveSun, LLC			CollectiveSun is an impact investing platform for investors who want to support renewable energy projects and great nonprofits; crowd sources solar purchases and rewards contributors 	P2P, Financial Services, Finance, Professional Services	B2B2C	P2P, Financial Services, Finance, Professional Services. Focus : B2B2C		https://www.collectivesun.com/					San Diego	
	College Magazine		Amanda Nachman	Online campus resource 	digital Ads, Edutainment, Publishing, Media and Entertainment	B2B	digital Ads, Edutainment, Publishing, Media and Entertainment. Focus : B2B		http://www.collegemagazine.com/					San Diego	
	Combined Power LLC, DBA Hyperlight Energy			Thermal energy storage using Solar 	Solar 	B2B	Solar . Focus : B2B		http://hyper.starship.net/wp/?page_id=685					San Diego	
	Connected Signals		Dennis Capovilla, Matt Ginsberg, 	Connected Signals, Inc. is an innovative startup in the connected car space that delivers real-time, predictive traffic signal data. Our engineers have developed sophisticated techniques to predict upcoming signal states.	Auto and city infistructure, Android, iOS, Mobile Apps, Autonomous Vehicles, Transportation, Apps, Automotive, Mapping Services, Navigation	B2B 	Auto and city infistructure, Android, iOS, Mobile Apps, Autonomous Vehicles, Transportation, Apps, Automotive, Mapping Services, Navigation. Focus : B2B 		http://connectedsignals.com/					San Diego	
	Connequity		Russel Hall	Connequity has reimagined professional networking with an online platform that creates an ecosystem of new business opportunities to grow your business. Using a proprietary intelligent matching technology called The Intelligent Lead GeneratorÈ	Social, Business Intelligence, Marketing Automation, Software	B2B	Social, Business Intelligence, Marketing Automation, Software. Focus : B2B		http://connequity.com					San Diego	
	Coolan (acquired by Salesforce)		Jonathan Heiliger, Amir Michael, Yoni Michael	Coolan is bringing crowdsourced, predictive analytics to the data center. Using automated, real-time information aggregated from the data center environments of a community of operators, Coolanês platform leverages machine learning to provide peer benchmarking and historical data that predicts failure trends, prevents outages, and informs purchasing decisions. We believe that bringing the	Big Data,Analytics, Infrastructure, Predictive Analytics 	B2B	Big Data,Analytics, Infrastructure, Predictive Analytics . Focus : B2B		www.coolan.com					San Mateo	
	Coopals		George Zhou	CooPals is an online service which connects skiers with guides to help them navigate the mountain safely and improve their skills through spending a day with a more advanced skier.	Skiing, Share-eco, Platform/Marketplace, and Fundraising		Skiing, Share-eco, Platform/Marketplace, and Fundraising		https://www.coopals.com/					Tulsa, Oklahoma	
	Cordial.io			Cordial is the leading event & behavioral data management, analytics and messaging automation platform, helping companies build, deliver, and optimize real-time experiences to their customers via email and mobile campaigns using machine learning	Message automation 	B2B	Message automation . Focus : B2B		Cordial.io					San Diego	
	CourseKey		Luke Sophinos	College attendance and Q&A App for students 	Edtech, Education, Real Time, Software 	B2B2C	Edtech, Education, Real Time, Software . Focus : B2B2C		http://thecoursekey.com					San Diego	
	Croakus													San Diego	
	CrowdClock		Oliver Ahmadpour, J. Neil Weintraut, Alex Harris, Marcus C. Huang, Oliver A. Ahmadpour, Yashar Ahmadpour, Ankit Sharma	CrowdClock is a cloud-based platform independent appointment setting tool that enables its users to set appointments between service providers and their clients. The connecting dots between businesses and their customers can occur on the CrowdClock iPhone App, website, or the businesses' own websites through a widget.	Developer APIs, iOS, Cloud Computing, Apps, Mobile		Developer APIs, iOS, Cloud Computing, Apps, Mobile		http://crowdclock.com					San Diego	
	Cru.io		Ben Acott	End to end Direct to Consumer eCommerce platform for CPG brands					https://www.crucpg.com/					San Diego	
	Crypteron Inc		Wolfgang Wedemeyer, Sid Shetye, Yaron Guez	Crypteron is a developer-friendly platform for building, secure and compliant cloud applications and prevents data breaches. It allows its users add military-grade data security and regulatory compliance to its usersê backend applications. It provides encryption, tamper protection, key management, and a one-click response to data breaches. Its users can control their security model from a Management	Cyber Security, Developer Tools		Cyber Security, Developer Tools		http://www.crypteron.com					San Diego	
	Cryx.io		Will						Cryx.io					San Diego	
	CureMetrix		Navid Alipour, Homa Karimabadi, Blaise Barrelet	Deep learning in medical imaging. First target: breast cancer.	Medical Device, Health Care, Biotechnology, Machine Learning, Women's, Health Diagnostics, Medical, Analytics, Artificial Intelligence	B2B	Medical Device, Health Care, Biotechnology, Machine Learning, Women's, Health Diagnostics, Medical, Analytics, Artificial Intelligence. Focus : B2B		www.curemetrix.com					San Diego	
	Cursive Labs		Keiran Flanigan, Jon Belmonte, Grant Bostrom, Evan Witte, Ryan Bettencourt	Brain Trust Smart guys 	SaaS, Computer, Software	B2B	SaaS, Computer, Software. Focus : B2B		www.cursivelabs.com					San Diego	
	Curvo Labs		Steve Surheinrich	Curvo Labs LLC provides data platform that allows hospitals, surgery centers and medical device companies to connect and share information. The company was incorporated in 2012 and is based in Evansville, Indiana.	Health, Healthcare, HealthTech		Health, Healthcare, HealthTech		http://www.curvolabs.com					Illinois	
	D&P Bioinnovations		Derek Dashti	D&P Bioinnovations, LLC, [D&P] is a regenerative medicine company focused on repairing damaged organs with unique biomaterials and stem cells. The company has developed a platform absorbable off-the-shelf medical device to regenerate damaged organs: gastro-intestine, blood vessels, nerves, tendons/ligaments, and muscle.	Biotech		Biotech		http://www.dpbioinnovations.com			EvoCompanies2016		San Diego	 Met With: EvoCompanies2016
	Dash?													San Diego	
	Dealstruck		Ethan Senturia	Group Food delivery focusing on bulk delivery 	Bulk Delivery, Local Business, Marketplace, Financial Services, Finance	B2B 	Bulk Delivery, Local Business, Marketplace, Financial Services, Finance. Focus : B2B 	Neil Senturia (Blackbird Ventures)	http://www.dealstruck.com					Carlsbad	Notes : Neil Senturia (Blackbird Ventures)
	Deep Force		Winston Chen	We transfer specific domain knowledge and provide a deep learning framework to reveal the full potential of the hardware (CPU, GPU, and DSP for now, more to be included in the future) to enable fast and private AI applications on device.					http://www.deepforce.com/			EvoCompanies2016		San Diego	 Met With: EvoCompanies2016
	Deep Science AI		Sean Huver, Sam Tkash	We're building a human-in-the-loop AI platform that will make active monitoring of surveillance networks more cost-effective by a factor of 10. Our prototype can spot guns, knives, ski masks, and people in unauthorized areas.	Deep Learning, Surveillance, CCTV, Machine Learning, and Video Analytics		Deep Learning, Surveillance, CCTV, Machine Learning, and Video Analytics		http://deepscience.ai			EvoCompanies2016		San Diego	 Met With: EvoCompanies2016
	Defy Ventures		Catherine Hoke	Defy Ventures is an entrepreneurship, employment, and character development training program for currently and formerly incarcerated men, women, and youth.					https://defyventures.org/					San Diego	
n/a	DevaCell													San Diego	
	Dials	AL & DH Meeting 9/22	Thomas Scriven, Dante Orpilla	Mobile Calendar	Task Management, Events, Mobile		Task Management, Events, Mobile		http://dialsapp.com					Los Angeles	
	Diggen		Frabrice Gould	Diggen is a marketing integration platform to help marketers become data driven and optimize metrics.	Data, Marketing, Audience Targeting, Personalized Content, Ecommerce Relevany, Marketing Campaigns, Developer Platform, and Consumer Data		Data, Marketing, Audience Targeting, Personalized Content, Ecommerce Relevany, Marketing Campaigns, Developer Platform, and Consumer Data		https://www.diggen.com/					San Diego	
	DigTribute, Inc.		Anupama Malladi	DigTribute is a new advertising platform where the advertisement cost for a business will be directly proportional to it's final sales.	Adtech		Adtech					EvoCompanies2016		San Diego	 Met With: EvoCompanies2016
	Direct Cannabis Network		Adelia Carrillo	Direct Cannabis Network is the cannabis industryês leading source of behind-the-scenes business news.	Social Media Marketing, Marketing, Advertising, and Media		Social Media Marketing, Marketing, Advertising, and Media	SDVG Cool Company 2017	http://www.directcannabisnetwork.com					San Diego	Notes : SDVG Cool Company 2017
	Dizzle (Rivolix)		Will Caldwell	Dizzle generates high intent leads for home service providers by partnering with large real estate brokers.	Real Estate, Mobile, App		Real Estate, Mobile, App		http://www.dizzle.com/					San Diego	
	Docfully		Jacques Stroud	Docfully is a company that's developing a software system to connect medical records with telemedicine. We're creating this system in order to deliver healthcare to the elderly and disabled in their home.	Healthcare, Healthtech, 		Healthcare, Healthtech, 		docfully.com			EvoCompanies2016		SF	 Met With: EvoCompanies2016
	Doctible		Ajit Viswanathan 	Doctible is a healthcare SaaS platform for engaging patients and automating back-office workflow to help practices and health systems grow.	SaaS, Healthcare, Marketing	B2B	SaaS, Healthcare, Marketing. Focus : B2B		http://www.doctible.com					San Diego	
	DonationMatch		Renee Zau	DonationMatch is a win-win, Match.com-like platform connecting in-kind donations with school and charity events	Advertising, Donation Procurement, Cause Marketing, Corporate Giving, Nonprofit Events	B2B	Advertising, Donation Procurement, Cause Marketing, Corporate Giving, Nonprofit Events. Focus : B2B		https://www.donationmatch.com					San Diego	
n/a	Dotstudioz					B2B	. Focus : B2B							San Diego	
